Column1;Año del censo;Partido;Cultivo;Total
596;2002;General Las Heras;Oleaginosas;1119
597;2002;General Lavalle;Oleaginosas;130
598;2002;General Paz;Oleaginosas;1241,2
599;2002;General Pinto;Oleaginosas;57103,5
600;2002;General Pueyrredón;Oleaginosas;13863
601;2002;General Rodríguez;Oleaginosas;1306
602;2002;General San Martín;Oleaginosas;0
603;2002;General Viamonte;Oleaginosas;46824,6
604;2002;General Villegas;Oleaginosas;146083,7
605;2002;Guaminí;Oleaginosas;54998,8
606;2002;Hipólito Yrigoyen;Oleaginosas;18556
607;2002;Hurlingham;Oleaginosas;0
608;2002;Ituzaingó;Oleaginosas;0
609;2002;José C, Paz;Oleaginosas;0
610;2002;Junín;Oleaginosas;67949
611;2002;La Costa;Oleaginosas;0
612;2002;La Matanza;Oleaginosas;509
613;2002;Lanús;Oleaginosas;0
614;2002;La Plata;Oleaginosas;1036
615;2002;Laprida;Oleaginosas;7378
616;2002;Las Flores;Oleaginosas;7238,5
617;2002;Leandro N, Alem;Oleaginosas;45672,5
618;2002;Lezama;Oleaginosas;
619;2002;Lincoln;Oleaginosas;104163,5
620;2002;Lobería;Oleaginosas;73318
621;2002;Lobos;Oleaginosas;17617
622;2002;Lomas de Zamora;Oleaginosas;0
623;2002;Luján;Oleaginosas;5065
624;2002;Magdalena;Oleaginosas;1625,5
625;2002;Maipú;Oleaginosas;3026
626;2002;Malvinas Argentinas;Oleaginosas;0
627;2002;Mar Chiquita;Oleaginosas;4320,1
628;2002;Marcos Paz;Oleaginosas;2529
629;2002;Mercedes;Oleaginosas;11839,5
630;2002;Merlo;Oleaginosas;221
631;2002;Monte;Oleaginosas;7743
632;2002;Monte Hermoso;Oleaginosas;0
633;2002;Moreno;Oleaginosas;0
634;2002;Morón;Oleaginosas;0
635;2002;Navarro;Oleaginosas;17009
636;2002;Necochea;Oleaginosas;103985
637;2002;9 de julio;Oleaginosas;62994,3
638;2002;Olavarría;Oleaginosas;41892
639;2002;Patagones;Oleaginosas;2733
640;2002;Pehuajó;Oleaginosas;91685
